symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DOW,2019-03-20 00:00:00+00:00,49.8,53.5,49.5,52.75,2350838,41.3254225381,44.3957852568,41.0764742095,43.7734144354,2350838,0.0,1.0
DOW,2019-03-21 00:00:00+00:00,48.98,50.0,48.2,49.99,1764671,40.6449637734,41.4913880904,39.9976981192,41.4830898128,1764671,0.0,1.0
DOW,2019-03-22 00:00:00+00:00,48.6,49.95,48.16,48.8,844690,40.3296292239,41.4498967023,39.9645050087,40.4955947763,844690,0.0,1.0
DOW,2019-03-25 00:00:00+00:00,49.15,49.4,48.0,48.6,440892,40.7860344929,40.9934914334,39.8317325668,40.3296292239,440892,0.0,1.0
DOW,2019-03-26 00:00:00+00:00,48.85,49.75,48.18,49.0,504734,40.5370861644,41.28393115,39.9811015639,40.6615603286,504734,0.0,1.0
DOW,2019-03-27 00:00:00+00:00,50.1,50.78,49.0,49.0,1788588,41.5743708666,42.1386537446,40.6615603286,40.6615603286,1788588,0.0,1.0
DOW,2019-03-28 00:00:00+00:00,50.85,51.0,49.915,50.9,585438,42.196741688,42.3212158522,41.4208527307,42.2382330761,585438,0.0,1.0
DOW,2019-03-29 00:00:00+00:00,51.63,52.48,49.18,49.52,1769027,42.8440073422,43.5493609397,40.8109293258,41.0930707648,1769027,0.0,1.0
DOW,2019-04-01 00:00:00+00:00,53.5,54.39,51.25,52.3,19663442,44.3957852568,45.1343319648,42.5286727927,43.3999919426,19663442,0.0,1.0
DOW,2019-04-02 00:00:00+00:00,56.25,57.39,54.3,55.12,17414153,46.6778116017,47.6238152502,45.0596474662,45.7401062309,17414153,0.0,1.0
DOW,2019-04-03 00:00:00+00:00,56.88,57.2,55.51,57.08,15066169,47.2006030917,47.4661479755,46.063739058,47.366568644,15066169,0.0,1.0
DOW,2019-04-04 00:00:00+00:00,59.71,60.52,57.1,57.2,13311868,49.5490156576,50.2211761447,47.3831651993,47.4661479755,13311868,0.0,1.0
DOW,2019-04-05 00:00:00+00:00,57.24,58.98,56.27,58.39,17000788,47.4993410859,48.9432413915,46.694408157,48.453643012,17000788,0.0,1.0
DOW,2019-04-08 00:00:00+00:00,57.15,58.39,56.27,56.5,10764569,47.4246565874,48.453643012,46.694408157,46.8852685422,10764569,0.0,1.0
DOW,2019-04-09 00:00:00+00:00,56.27,57.2,56.08,56.8,9179922,46.694408157,47.4661479755,46.5367408822,47.1342168707,9179922,0.0,1.0
DOW,2019-04-10 00:00:00+00:00,55.71,56.41,55.1,55.99,9081860,46.2297046104,46.8105840436,45.7235096757,46.4620563837,9081860,0.0,1.0
DOW,2019-04-11 00:00:00+00:00,54.89,56.21,54.83,55.7,7346094,45.5492458457,46.6446184913,45.49945618,46.2214063327,7346094,0.0,1.0
DOW,2019-04-12 00:00:00+00:00,58.3,58.33,55.93,55.93,9281662,48.3789585135,48.4038533463,46.412266718,46.412266718,9281662,0.0,1.0
DOW,2019-04-15 00:00:00+00:00,57.78,58.85,57.29,58.57,5727269,47.9474480773,48.8353637824,47.540832474,48.6030120091,5727269,0.0,1.0
DOW,2019-04-16 00:00:00+00:00,58.5,58.99,57.84,58.71,6681567,48.5449240658,48.9515396691,47.997237743,48.7191878958,6681567,0.0,1.0
DOW,2019-04-17 00:00:00+00:00,58.32,59.05,58.2,58.95,6420663,48.3955550687,49.0013293348,48.2959757373,48.9183465586,6420663,0.0,1.0
DOW,2019-04-18 00:00:00+00:00,57.77,58.61,57.55,58.36,5178855,47.9391497997,48.6362051196,47.7565876921,48.4287481792,5178855,0.0,1.0
DOW,2019-04-22 00:00:00+00:00,57.89,58.41,57.26,57.48,4401749,48.0387291311,48.4702395672,47.5159376412,47.6984997488,4401749,0.0,1.0
DOW,2019-04-23 00:00:00+00:00,57.64,57.84,57.0,57.29,5687232,47.8312721907,47.997237743,47.3001824231,47.540832474,5687232,0.0,1.0
DOW,2019-04-24 00:00:00+00:00,55.98,57.89,55.865,57.49,5431323,46.4537581061,48.0387291311,46.3583279134,47.7067980264,5431323,0.0,1.0
DOW,2019-04-25 00:00:00+00:00,55.33,55.98,54.82,55.76,6260460,45.9143700609,46.4537581061,45.4911579024,46.2711959985,6260460,0.0,1.0
DOW,2019-04-26 00:00:00+00:00,55.25,55.6,54.95,55.3,4009795,45.8479838399,46.1384235566,45.5990355114,45.889475228,4009795,0.0,1.0
DOW,2019-04-29 00:00:00+00:00,55.5,55.685,54.8,55.05,5935245,46.0554407804,46.2089589163,45.4745613471,45.6820182876,5935245,0.0,1.0
DOW,2019-04-30 00:00:00+00:00,56.73,57.205,55.6,55.76,6454064,47.0761289274,47.4702971143,46.1384235566,46.2711959985,6454064,0.0,1.0
DOW,2019-05-01 00:00:00+00:00,56.13,57.48,55.88,56.82,7644453,46.5782322703,47.6984997488,46.3707753299,47.150813426,7644453,0.0,1.0
DOW,2019-05-02 00:00:00+00:00,52.7,56.49,52.03,55.54,13932682,43.7319230473,46.8769702646,43.1759384469,46.0886338909,13932682,0.0,1.0
DOW,2019-05-03 00:00:00+00:00,53.3,53.35,51.72,53.2,7401851,44.2298197044,44.2713110925,42.9186918407,44.1468369282,7401851,0.0,1.0
DOW,2019-05-06 00:00:00+00:00,53.46,54.03,51.7,52.15,6089501,44.3625921463,44.8355939705,42.9020952855,43.2755177783,6089501,0.0,1.0
DOW,2019-05-07 00:00:00+00:00,52.95,53.325,52.65,52.86,7330785,43.9393799878,44.2505653985,43.6904316592,43.8646954892,7330785,0.0,1.0
DOW,2019-05-08 00:00:00+00:00,52.48,53.395,52.31,53.33,5390685,43.5493609397,44.3086533418,43.4082902202,44.2547145373,5390685,0.0,1.0
DOW,2019-05-09 00:00:00+00:00,52.93,53.14,51.55,52.26,4579758,43.9227834325,44.0970472625,42.7776211212,43.3667988321,4579758,0.0,1.0
DOW,2019-05-10 00:00:00+00:00,53.07,53.714,52.49,52.94,4758371,44.0389593192,44.5733683978,43.5576592173,43.9310817102,4758371,0.0,1.0
DOW,2019-05-13 00:00:00+00:00,50.95,52.55,50.76,52.28,4213102,42.2797244642,43.6074488831,42.1220571894,43.3833953874,4213102,0.0,1.0
